"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.brainstorminc.com/blog/12-software-puns-that-make-way-too-much-sense","Indexable","","0","","2","1","0","0.430","99","74","0","10","7","0"
"https://www.brainstorminc.com/blog/2018-utah-business-cxo-of-the-year","Indexable","","0","","3","2","0","0.870","97","72","0","11","8","0"
"https://www.brainstorminc.com/blog/2019-best-workplace-by-great-place-to-work","Indexable","","0","","8","7","0","3.030","97","71","0","18","15","0"
"https://www.brainstorminc.com/blog/13-new-ways-to-grow-your-saas-customer-retention-fast","Indexable","","0","","23","9","0","3.900","115","75","0","10","7","0"
"https://www.brainstorminc.com/blog/2025-top-performer-by-featuredcustomers","Indexable","","0","","2","1","0","0.430","100","74","0","12","9","0"
"https://www.brainstorminc.com/blog/2019-best-workplaces-by-fortune","Indexable","","0","","6","5","0","2.160","98","72","0","18","15","0"
"https://www.brainstorminc.com/blog/2025-predictions-cs-customer-education","Indexable","","0","","5","4","0","1.730","101","75","0","63","37","0"
"https://www.brainstorminc.com/blog/3-things-about-saas-that-no-one-knows-are-true","Indexable","","0","","4","3","0","1.300","99","74","0","16","13","0"
"https://www.brainstorminc.com/blog/3-ways-to-scale-your-saas-platform","Indexable","","0","","4","3","0","1.300","105","77","0","14","11","0"
"https://www.brainstorminc.com/blog/4-reasons-why-not-to-grow-your-customer-success-team","Indexable","","0","","4","3","0","1.300","100","74","0","11","8","0"
"https://www.brainstorminc.com/blog/4-tips-to-improve-productivity","Indexable","","0","","2","1","0","0.430","100","74","0","16","13","0"
"https://www.brainstorminc.com/blog/4-transformative-a.i.-hacks-for-saas-ld-teams","Indexable","","0","","2","1","0","0.430","100","75","0","15","12","0"
"https://www.brainstorminc.com/blog/5-consecutive-years-of-being-one-of-outsides-best-places-to-work","Indexable","","0","","8","7","0","3.030","97","72","0","11","8","0"
"https://www.brainstorminc.com/blog/4-ways-you-can-simplify-collaboration-with-microsoft-loop","Indexable","","0","","5","4","0","1.730","100","75","0","10","7","0"
"https://www.brainstorminc.com/blog/5-virtual-onboarding-essentials","Indexable","","0","","4","3","0","1.300","101","75","0","13","10","0"
"https://www.brainstorminc.com/blog/5-mistakes-that-are-killing-your-champions-program-and-5-ways-to-revive-it","Indexable","","0","","11","8","0","3.460","103","75","0","11","8","0"
"https://www.brainstorminc.com/blog/5-costs-of-low-tech-adoption","Indexable","","0","","4","3","0","1.300","101","76","0","11","8","0"
"https://www.brainstorminc.com/blog/5-ways-leading-companies-train-their-end-users","Indexable","","0","","3","2","0","0.870","102","75","0","10","7","0"
"https://www.brainstorminc.com/blog/5-learning-strategies-for-tech-training","Indexable","","0","","2","1","0","0.430","106","81","0","10","7","0"
"https://www.brainstorminc.com/blog/7-deadly-sins-of-m365-copilot-rollouts","Indexable","","0","","9","7","0","3.030","107","78","0","10","7","0"
"https://www.brainstorminc.com/blog/6-ways-microsoft-copilot-chat-outperforms-chatgpt-in-the-workplace-besides-being-free","Indexable","","0","","5","4","0","1.730","101","75","0","10","7","0"
"https://www.brainstorminc.com/blog/7-software-tips-to-work-more-effectively-increase-efficiency-part-2","Indexable","","0","","7","5","0","2.160","103","76","0","13","10","0"
"https://www.brainstorminc.com/blog/6-things-customers-wish-their-csms-realized","Indexable","","0","","2","1","0","0.430","101","75","0","17","14","0"
"https://www.brainstorminc.com/blog/6-steps-to-increase-customer-roi-with-software-training","Indexable","","0","","9","8","0","3.460","107","82","0","12","9","0"
"https://www.brainstorminc.com/blog/9-ways-to-improve-your-desktop-productivity-increase-efficiency-pt.-1","Indexable","","0","","5","3","0","1.300","102","77","0","14","11","0"
"https://www.brainstorminc.com/blog/8-laws-to-influence-customer-success-renew-more-accounts","Indexable","","0","","3","2","0","0.870","102","77","0","11","8","0"
"https://www.brainstorminc.com/blog/ai-generated-blog-preparing-your-organization-for-microsoft-365-copilot","Indexable","","0","","3","2","0","0.870","101","75","0","10","7","0"
"https://www.brainstorminc.com/blog/a-birds-eye-view-of-change-management-tools","Indexable","","0","","4","3","0","1.300","107","80","0","11","8","0"
"https://www.brainstorminc.com/blog/a-day-in-the-life-with-office-365","Indexable","","0","","5","4","0","1.730","99","74","0","10","7","0"
"https://www.brainstorminc.com/blog/a-google-vault-and-endpoint-admin-guide","Indexable","","0","","7","6","0","2.600","101","74","0","17","14","0"
"https://www.brainstorminc.com/blog/as-ai-races-ahead-are-you-leading-the-way","Indexable","","0","","7","6","0","2.600","105","75","0","15","8","0"
"https://www.brainstorminc.com/blog/a-valentines-day-guide-to-winning-end-user-hearts","Indexable","","0","","3","2","0","0.870","105","73","0","10","7","0"
"https://www.brainstorminc.com/blog/best-workplaces-2023","Indexable","","0","","2","1","0","0.430","98","73","0","11","8","0"
"https://www.brainstorminc.com/blog/brainstorm-announces-viva-learning-integration","Indexable","","0","","3","2","0","0.870","99","74","0","10","7","0"
"https://www.brainstorminc.com/blog/brainstorm-achieves-microsoft-silver-cloud-platform-competency","Indexable","","0","","2","1","0","0.430","99","74","0","10","7","0"
"https://www.brainstorminc.com/blog/brainstorm-earns-g2-fall-2025-badges-leader-easiest-to-do-business-with-users-love-us","Indexable","","0","","3","2","0","0.870","103","72","0","10","7","0"
"https://www.brainstorminc.com/blog/box-vs.-dropbox-google-drive-microsoft-onedrive","Indexable","","0","","2","1","0","0.430","106","80","0","26","22","0"
"https://www.brainstorminc.com/blog/brainstorm-launches-threat-defense-simulated-phishing-attacks-with-100-deliverabilty","Indexable","","0","","4","3","0","1.300","101","74","0","7","7","0"
"https://www.brainstorminc.com/blog/brainstorm-earns-g2-winter-2025-badges-a-microlearning-and-digital-adoption-leader-easiest-to-do-business-with","Indexable","","0","","4","3","0","1.300","104","72","0","10","7","0"
"https://www.brainstorminc.com/blog/brainstorm-highlights-critical-retention-keys-as-sponsor-at-gainsight-pulse-featuring-industry-expert-greg-daines-churnrx","Indexable","","0","","6","5","0","2.160","99","73","0","16","13","0"
"https://www.brainstorminc.com/blog/brainstorm-launches-two-new-ai-training-content-packs-to-tackle-shadow-ai-security-risks-and-unlock-actual-ai-productivity","Indexable","","0","","7","6","0","2.600","104","75","0","10","7","0"
"https://www.brainstorminc.com/blog/brainstorm-honored-as-a-2025-best-workplace-by-inc","Indexable","","0","","2","1","0","0.430","99","72","0","11","8","0"
"https://www.brainstorminc.com/blog/brainstorm-inc.-maintains-effective-security-controls-according-to-recent-soc-1-report","Indexable","","0","","2","1","0","0.430","97","72","0","11","8","0"
"https://www.brainstorminc.com/blog/brainstorm-minute-a-new-web-series","Indexable","","0","","4","3","0","1.300","97","72","0","10","7","0"
"https://www.brainstorminc.com/blog/brainstorm-named-2023-top-workplace-by-salt-lake-tribune","Indexable","","0","","2","1","0","0.430","97","72","0","14","11","0"
"https://www.brainstorminc.com/blog/brainstorm-named-a-2025-top-customer-and-partner-lms-by-talented-learning","Indexable","","0","","9","8","0","3.460","111","73","0","11","8","0"
